City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,chiguayante,-36.9167,-73.0167,50.52,76,0,6.91,CL,2025-01-01
180,saint-philippe,-21.3585,55.7679,80.46,77,73,6.2,RE,2025-01-01
181,tsuruoka,38.7217,139.8217,41.04,56,75,12.66,JP,2025-01-01
182,brookings,44.3114,-96.7984,20.05,80,100,11.5,US,2025-01-01
183,afaahiti,-17.75,-149.2833,78.8,75,34,5.86,PF,2025-01-01
184,lihue,21.9789,-159.3672,74.79,80,40,18.41,US,2025-01-01
185,mata-utu,-13.2816,-176.1745,84.4,69,46,3.78,WF,2025-01-01
186,kailua-kona,19.6406,-155.9956,76.55,92,25,1.01,US,2025-01-01
187,yelizovo,53.1873,158.3805,19.54,79,100,2.24,RU,2025-01-01
188,dudinka,69.4058,86.1778,11.62,93,100,23.31,RU,2025-01-01
189,broken hill,-31.95,141.4333,89.69,12,0,20.56,AU,2025-01-01
190,kapuskasing,49.4169,-82.4331,26.69,100,100,3.44,CA,2025-01-01
191,puerto madero,14.7208,-92.4215,75.4,94,20,0.0,MX,2025-01-01
192,inarajan village,13.2736,144.7484,88.77,83,33,12.5,GU,2025-01-01
193,grabouw,-34.1515,19.0151,61.48,56,0,2.42,ZA,2025-01-01
194,aasiaat,68.7098,-52.8699,-2.18,82,34,4.83,GL,2025-01-01
195,praia da vitoria,38.7333,-27.0667,62.85,100,75,28.23,PT,2025-01-01
196,mawlamyinegyunn,16.3833,95.2667,86.14,44,83,3.76,MM,2025-01-01
197,mendi,-6.1761,143.6513,63.77,93,70,3.02,PG,2025-01-01
198,progreso,21.2833,-89.6667,74.1,93,97,10.04,MX,2025-01-01
199,lajere,11.9797,11.4443,61.43,42,5,9.06,NG,2025-01-01
200,queenstown,-31.8976,26.8753,71.55,56,7,1.83,ZA,2025-01-01
201,wynyard,-41.0,145.7167,66.18,50,57,5.01,AU,2025-01-01
202,carutapera,-1.195,-46.02,78.66,85,100,5.77,BR,2025-01-01
203,arecibo,18.4724,-66.7157,72.28,81,100,7.25,PR,2025-01-01
204,vadso,70.0744,29.7487,24.96,74,20,11.5,NO,2025-01-01
205,saint-pierre,-21.3393,55.4781,85.68,62,0,8.05,RE,2025-01-01
206,tromso,69.6496,18.957,26.62,80,75,6.91,NO,2025-01-01
207,amos,48.5669,-78.1162,26.47,98,100,2.59,CA,2025-01-01
